Duration (in seconds),ResponseId,UserLanguage,Intro,question,response
161,R_7Tz7i4dFFAkpeXP,EN,2,Control_noanimals_1,3
283,R_5aFdegDN2q9tihQ,EN,2,Control_noanimals_1,3
267,R_5Fqw2dfbLaq6DN7,EN,2,Control_noanimals_1,3
310,R_5w1cbqE2ACIeSRm,EN,2,Control_noanimals_1,3
416,R_6UWsOjaCE5hDzCP,EN,2,Control_noanimals_1,3
233,R_70vPtOvoIs3gogx,EN,2,Control_noanimals_1,3
318,R_5cpba9m1Uho4gmZ,EN,2,Control_noanimals_1,3
249,R_1tqZrwBvxxThu61,EN,2,Control_noanimals_1,3
386,R_3hCUAUJqFx16rSh,EN,2,Control_noanimals_1,3
344,R_738ZJaqs1729qox,EN,2,Control_noanimals_1,3
194,R_3KZ1SavjyHRbbjP,EN,2,Control_noanimals_1,3
218,R_3qsqnuXJ6b2HfsP,EN,2,Control_noanimals_1,3
264,R_5uJPrcfxEGnz2C5,EN,2,Control_noanimals_1,3
252,R_3s0VYbowU8ATTbl,EN,2,Control_noanimals_1,3
281,R_6fpXLqdJnuL5jZT,EN,2,Control_noanimals_1,3
237,R_59iCamIhq6s2iYF,EN,2,Control_noanimals_1,3
407,R_6nNLT5szpQNs5dT,EN,2,Control_noanimals_1,3
248,R_18Hcl63BgHxyRI3,EN,2,Control_noanimals_1,3
466,R_1uCD49oGmhk7Ths,EN,2,Control_noanimals_1,3
380,R_71qeNM7h5xQlWH7,EN,2,Control_noanimals_1,3
189,R_5UEqECzKq8Drddv,EN,2,Control_noanimals_1,3
413,R_77dsUZz8bCpdSu0,EN,2,Control_noanimals_1,3
274,R_5NgqfhhYog0gAyW,EN,2,Control_noanimals_1,3
231,R_6QKrYtej36cGA8x,EN,2,Control_noanimals_1,3
185,R_1qaexFVB8eoaBuF,EN,2,Control_noanimals_1,3
443,R_3eDDOZ9fYGu2Ldo,EN,2,Control_noanimals_1,3
173,R_7GVoq95bOLuCif6,EN,2,Control_noanimals_1,3
160,R_6FKYNwbtqjDq3z2,EN,2,Control_noanimals_1,3
195,R_3g0cHPEb0iTQnix,EN,2,Control_noanimals_1,3
278,R_3EGdSLkwy1J739P,EN,2,Control_noanimals_1,3
206,R_3TmKxB9lyG9cNU0,EN,2,Control_noanimals_1,3
253,R_5fGM1p7FCPJ4kIt,EN,2,Control_noanimals_1,3
239,R_8XhUIxpHKeMgFST,EN,2,Control_noanimals_1,3
177,R_2qwJEZkK4BSDoUD,EN,2,Control_noanimals_1,3
239,R_8KJhF9Td1YDOLjF,EN,2,Control_noanimals_1,3
450,R_89ZcYjXalz3z0DD,EN,2,Control_noanimals_1,3
363,R_2m7SdeHZfnqMyQw,EN,2,Control_noanimals_1,3
195,R_346lMDo7Q1W9Zkd,EN,2,Control_noanimals_1,3
277,R_8X66YscKqlQRNxa,EN,2,Control_noanimals_1,3
259,R_8e9UK73U5igLtEZ,EN,2,Control_noanimals_1,3
187,R_2wyJYa0HbWmpabA,EN,2,Control_noanimals_1,3
275,R_8OiuFySI1hjFVit,EN,2,Control_noanimals_1,3
298,R_2pJOVArPxdW5H8V,EN,2,Control_noanimals_1,3
198,R_5GPwYtM8kC3HZtO,EN,2,Control_noanimals_1,3
667,R_2DVbo41YIFPX3dI,EN,2,Control_noanimals_1,3
214,R_8u2iWvfy4QzWcDf,EN,2,Control_noanimals_1,3
618,R_8ICqd0WLmzeIdOx,EN,2,Control_noanimals_1,3
221,R_8QFe50PkbyGIouX,EN,2,Control_noanimals_1,3
243,R_2QFpTkZoMmEdAjt,EN,2,Control_noanimals_1,3
256,R_8xfa81Ce2KefusF,EN,2,Control_noanimals_1,3
161,R_7Tz7i4dFFAkpeXP,EN,2,Control_oneanimal_2,"1,2"
283,R_5aFdegDN2q9tihQ,EN,2,Control_oneanimal_2,"1,2"
267,R_5Fqw2dfbLaq6DN7,EN,2,Control_oneanimal_2,"1,2"
310,R_5w1cbqE2ACIeSRm,EN,2,Control_oneanimal_2,"1,2"
416,R_6UWsOjaCE5hDzCP,EN,2,Control_oneanimal_2,"1,2"
233,R_70vPtOvoIs3gogx,EN,2,Control_oneanimal_2,"1,2"
318,R_5cpba9m1Uho4gmZ,EN,2,Control_oneanimal_2,"1,2"
249,R_1tqZrwBvxxThu61,EN,2,Control_oneanimal_2,"1,2"
386,R_3hCUAUJqFx16rSh,EN,2,Control_oneanimal_2,"1,2"
344,R_738ZJaqs1729qox,EN,2,Control_oneanimal_2,"1,2"
194,R_3KZ1SavjyHRbbjP,EN,2,Control_oneanimal_2,"1,2"
218,R_3qsqnuXJ6b2HfsP,EN,2,Control_oneanimal_2,"1,2"
264,R_5uJPrcfxEGnz2C5,EN,2,Control_oneanimal_2,"1,2"
252,R_3s0VYbowU8ATTbl,EN,2,Control_oneanimal_2,"1,2"
281,R_6fpXLqdJnuL5jZT,EN,2,Control_oneanimal_2,"1,2"
237,R_59iCamIhq6s2iYF,EN,2,Control_oneanimal_2,"1,2"
407,R_6nNLT5szpQNs5dT,EN,2,Control_oneanimal_2,"1,2"
248,R_18Hcl63BgHxyRI3,EN,2,Control_oneanimal_2,"1,2"
466,R_1uCD49oGmhk7Ths,EN,2,Control_oneanimal_2,"1,2"
380,R_71qeNM7h5xQlWH7,EN,2,Control_oneanimal_2,"1,2"
189,R_5UEqECzKq8Drddv,EN,2,Control_oneanimal_2,"1,2"
413,R_77dsUZz8bCpdSu0,EN,2,Control_oneanimal_2,"1,2"
274,R_5NgqfhhYog0gAyW,EN,2,Control_oneanimal_2,"1,2"
231,R_6QKrYtej36cGA8x,EN,2,Control_oneanimal_2,"1,2"
185,R_1qaexFVB8eoaBuF,EN,2,Control_oneanimal_2,"1,2"
443,R_3eDDOZ9fYGu2Ldo,EN,2,Control_oneanimal_2,"1,2"
173,R_7GVoq95bOLuCif6,EN,2,Control_oneanimal_2,"1,2"
160,R_6FKYNwbtqjDq3z2,EN,2,Control_oneanimal_2,"1,2"
195,R_3g0cHPEb0iTQnix,EN,2,Control_oneanimal_2,"1,2"
278,R_3EGdSLkwy1J739P,EN,2,Control_oneanimal_2,"1,2"
206,R_3TmKxB9lyG9cNU0,EN,2,Control_oneanimal_2,"1,2"
253,R_5fGM1p7FCPJ4kIt,EN,2,Control_oneanimal_2,"1,2"
239,R_8XhUIxpHKeMgFST,EN,2,Control_oneanimal_2,"1,2"
177,R_2qwJEZkK4BSDoUD,EN,2,Control_oneanimal_2,"1,2"
239,R_8KJhF9Td1YDOLjF,EN,2,Control_oneanimal_2,"1,2"
450,R_89ZcYjXalz3z0DD,EN,2,Control_oneanimal_2,"1,2"
363,R_2m7SdeHZfnqMyQw,EN,2,Control_oneanimal_2,"1,2"
195,R_346lMDo7Q1W9Zkd,EN,2,Control_oneanimal_2,"1,2"
277,R_8X66YscKqlQRNxa,EN,2,Control_oneanimal_2,"1,2"
259,R_8e9UK73U5igLtEZ,EN,2,Control_oneanimal_2,"1,2"
187,R_2wyJYa0HbWmpabA,EN,2,Control_oneanimal_2,"1,2"
275,R_8OiuFySI1hjFVit,EN,2,Control_oneanimal_2,"1,2"
298,R_2pJOVArPxdW5H8V,EN,2,Control_oneanimal_2,"1,2"
198,R_5GPwYtM8kC3HZtO,EN,2,Control_oneanimal_2,"1,2"
667,R_2DVbo41YIFPX3dI,EN,2,Control_oneanimal_2,"1,2"
214,R_8u2iWvfy4QzWcDf,EN,2,Control_oneanimal_2,"1,2"
618,R_8ICqd0WLmzeIdOx,EN,2,Control_oneanimal_2,"1,2"
221,R_8QFe50PkbyGIouX,EN,2,Control_oneanimal_2,"1,2"
243,R_2QFpTkZoMmEdAjt,EN,2,Control_oneanimal_2,"1,2"
256,R_8xfa81Ce2KefusF,EN,2,Control_oneanimal_2,"1,2"
161,R_7Tz7i4dFFAkpeXP,EN,2,Control_twoanimals_3,4
283,R_5aFdegDN2q9tihQ,EN,2,Control_twoanimals_3,4
267,R_5Fqw2dfbLaq6DN7,EN,2,Control_twoanimals_3,4
310,R_5w1cbqE2ACIeSRm,EN,2,Control_twoanimals_3,4
416,R_6UWsOjaCE5hDzCP,EN,2,Control_twoanimals_3,4
233,R_70vPtOvoIs3gogx,EN,2,Control_twoanimals_3,4
318,R_5cpba9m1Uho4gmZ,EN,2,Control_twoanimals_3,4
249,R_1tqZrwBvxxThu61,EN,2,Control_twoanimals_3,4
